employee_id,first_name,last_name,created_at,dob,hourly_rate,contact_number,updated_at
21,Jolie,van Nederlotharingen,2026-02-01 15:33:52.789000 UTC,1998-02-03,6.24,052-8715513,2026-02-04 19:02:14.697031 UTC
20,Fatima,Janssen,2026-02-01 15:33:52.807000 UTC,1998-02-03,7.96,+31(0)320-297117,2026-02-01 15:33:52.807000 UTC
14,Micha,Oude Heer,2026-02-01 15:33:52.785000 UTC,1998-02-03,7.96,+31825-030966,2026-02-01 15:33:52.785000 UTC
18,Collin,de Grote,2026-02-01 15:33:52.799000 UTC,1998-02-03,10.62,(065)-1233101,2026-02-01 15:33:52.799000 UTC
12,Esm�e,Honing,2026-02-01 15:33:11.551000 UTC,1998-02-03,13.27,(091)-9764682,2026-02-01 15:33:11.551000 UTC
13,Lois,Zeldenrust,2026-02-01 15:33:52.778000 UTC,1998-02-03,13.27,0048-830404,2026-02-01 15:33:52.778000 UTC
17,Lize,de Korte,2026-02-01 15:33:52.796000 UTC,1998-02-03,13.27,(017) 9339973,2026-02-01 15:33:52.796000 UTC
11,Sofia,van Veen,2026-02-01 15:33:52.811000 UTC,1998-02-03,13.27,+31418-279186,2026-02-01 15:33:52.811000 UTC
16,Senna,van Duivenvoorde,2026-02-01 15:33:52.793000 UTC,1998-02-03,13.27,(026)-7919888,2026-02-01 15:33:52.793000 UTC
19,Johanna,Prins,2026-02-01 15:33:52.803000 UTC,1998-02-03,13.27,+3112 5715586,2026-02-01 15:33:52.803000 UTC
